,ID,Name,Country,Lat,Lng,CurrCond,TempF,Hum,Cloud,WindSpd,DateTime,EqtrDist
221,2141714,Bourail,NC,-21.57,165.5,Clouds,69.24,77,15,1.95,1562138870,1492.644
222,1695736,Panalingaan,PH,8.78,117.42,Clouds,84.72,72,100,8.81,1562138871,607.576
223,1242571,Kadugannawa,LK,7.26,80.52,Rain,88.68,54,100,10.71,1562138871,502.392
224,1637001,Luwuk,ID,-0.95,122.79,Rain,69.78,91,84,0.83,1562138872,65.74
225,3382160,Cayenne,GF,4.94,-52.33,Rain,73.4,100,90,3.58,1562138873,341.848
226,5354943,Half Moon Bay,US,37.46,-122.43,Mist,56.23,87,90,6.93,1562138874,2592.232
227,2021017,Kysyl-Syr,RU,63.9,122.77,Clouds,59.7,43,58,14.79,1562138874,4421.88
228,2065594,Mount Isa,AU,-20.73,139.49,Clear,75.2,22,0,4.7,1562138875,1434.516
229,217562,Butembo,CD,0.12,29.29,Clear,69.78,65,0,1.43,1562138875,8.304
230,1805953,Jiaxing,CN,30.76,120.75,Clouds,81.81,88,75,8.95,1562138876,2128.592
231,2063042,Port Hedland,AU,-20.31,118.58,Clear,82.4,34,0,10.29,1562138876,1405.452
232,3985710,Cabo San Lucas,MX,22.89,-109.91,Clear,73.27,75,0,4.92,1562138840,1583.988
233,2121909,Poronaysk,RU,49.22,143.1,Clouds,60.06,73,90,9.01,1562138876,3406.024
234,2515555,La Roda,ES,39.21,-2.16,Clear,70.63,60,0,6.93,1562138876,2713.3320000000003
235,1276901,Barmer,IN,25.74,71.4,Clear,98.76,35,3,14.2,1562138877,1781.2079999999999
236,2269142,Colares,PT,38.8,-9.45,Clouds,63.52,88,75,3.36,1562138877,2684.96
237,512576,Parfenyevo,RU,58.48,43.41,Clear,64.56,62,8,8.41,1562138877,4046.816
238,5983193,Ingleside,CA,45.0,-74.99,Mist,65.16,93,90,3.36,1562138878,3114.0
239,3421982,Maniitsoq,GL,65.42,-52.9,Clouds,40.62,84,47,15.43,1562138878,4527.064
240,6104820,Pinawa,CA,50.15,-95.88,Clear,55.0,64,5,4.12,1562138878,3470.38
241,2067089,Maningrida,AU,-12.05,134.23,Clouds,82.2,41,96,10.65,1562138878,833.8600000000001
242,475614,Verkhnedneprovskiy,RU,54.98,33.35,Clouds,55.38,77,26,13.2,1562138879,3804.616
243,3145614,Storforshei,NO,66.4,14.52,Clouds,50.0,57,75,5.82,1562138879,4594.880000000001
244,2119283,Zyryanka,RU,65.73,150.89,Clouds,59.16,75,100,15.1,1562138880,4548.5160000000005
245,1714733,Dingle,PH,11.0,122.67,Rain,90.3,57,66,2.42,1562138810,761.2
246,2521436,Azuaga,ES,38.26,-5.68,Clear,66.99,61,0,4.0,1562138881,2647.592
247,5563397,Eureka,US,40.8,-124.16,Clear,55.09,87,1,11.21,1562138881,2823.36
248,3609418,San Cristobal,HN,14.68,-86.92,Clouds,64.92,94,19,3.44,1562138882,1015.856
249,5847411,Kahului,US,20.89,-156.47,Clouds,74.88,65,40,4.7,1562138580,1445.5880000000002
250,3395981,Maceio,BR,-9.67,-35.74,Clouds,71.6,88,40,2.24,1562138740,669.164
251,3466165,Cidreira,BR,-30.17,-50.22,Clouds,53.4,75,68,8.66,1562138883,2087.764
252,787487,Poum,MK,41.28,20.71,Clear,75.2,57,0,3.36,1562138884,2856.576
253,5514709,Canon City,US,39.46,-117.13,Clear,50.0,39,1,3.36,1562138884,2730.632
